,Region
MAGDALENA MEDIO,392
VALLE DE ABURRA,315
SIERRA NEVADA DE SANTA MARTA,276
URABA,252
ORIENTE ANTIOQUEÑO,214
EJE CAFETERO,126
ALTO SINU Y SAN JORGE,120
ARIARI GUAYABERO,117
SERRANIA DEL PERIJA,116
NORDESTE ANTIOQUEÑO,113
NORTE DEL CAUCA,111
SUROESTE ANTIOQUEÑO,107
ANDEN PACIFICO SUR,106
CATATUMBO,104
AREA METROPOLITANA DE CUCUTA,103
MONTES DE MARIA,94
NORTE DE ANTIOQUIA,93
CENTRO DEL VALLE,93
OCCIDENTE ANTIOQUEÑO,82
PIEDEMONTE LLANERO,73
BAJO PUTUMAYO,73
NORTE DEL TOLIMA,71
SUR DEL TOLIMA,66
FLORENCIA Y AREA DE INFLUENCIA,65
SUR DEL VALLE,63
ALTIPLANO CUNDIBOYACENSE,60
BAJO CAUCA ANTIOQUEÑO,47
SARARE,45
PATIA,38
ATRATO,38
ALTILLANURA,38
LLANOS ORIENTALES,37
CIENAGA GRANDE DE SANTA MARTA,37
PROVINCIA DE SOTO,35
AREA METROPOLITANA DE BOGOTA,33
MACIZO COLOMBIANO,30
ALTA GUAJIRA,29
NORTE DE CORDOBA,29
NOROCCIDENTE DE CUNDINAMARCA,27
CANAL DEL DIQUE,27
PROVINCIA DE VELEZ,21
SUR DEL HUILA,21
SUMAPAZ,20
PROVINCIA DE RICAURTE,20
NORTE DEL HUILA,20
CAGUAN,17
LA MOJANA,16
NORTE DE ATLANTICO,15
SUR DE BOLIVAR,15
NORTE DEL VALLE,14
MORROSQUILLO Y SABANAS DE SUCRE,13
SUR DE CESAR,13
SIN INFORMACION,13
CENTRO DEL HUILA,12
VALLE DE SAN JUAN,11
AMAZONIA SUR-ORIENTAL,11
SUROCCIDENTE DE CUNDINAMARCA,11
LITORAL PACIFICO,11
NORTE DE NARIÑO,10
SUR DE NARIÑO,9
OCCIDENTE DE NARIÑO,9
MEDIO PUTUMAYO,9
SUR DE MAGDALENA,8
ORIENTE DE BOYACA,7
SAN JORGE (CESAR),5
CENTRO DE NARIÑO,5
OCCIDENTE DE ATLANTICO,4
PROVINCIA DE GUANENTA,3
SUROCCIDENTE DE NORTE DE SANTANDER,3
PROVINCIA DE GARCIA ROVIRA,3
SERRANIA DE LOS YARIGUIES,3
CENTRO DE NORTE DE SANTANDER,2
CENTRO ORIENTE DE ATLANTICO,1
PROVINCIA COMUNERA,1
ALTO PUTUMAYO,1
SURORIENTE DE NORTE DE SANTANDER,1
CENTRO OCCIDENTE DE NARIÑO,1
